ID,Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10,Q41_11,Q41_12,Q41_13,Q41_14,Q41_15,Q41_16,Q41_17,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7
1,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Often,Occasionally,Rarely,Never,Occasionally,Occasionally,Rarely,Rarely,A Little,A Little,A Little,None,A Little,A Little,A Little
2,Occasionally,Often,Occasionally,Very Often,Occasionally,Occasionally,Never,Never,Never,Very Often,Very Often,Never,Rarely,Never,Rarely,Rarely,Occasionally,A Little,Some,Some,None,Some,Some,A Little
3,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
4,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Never,Occasionally,Rarely,Occasionally,Often,A Little,None,None,None,None,None,None
5,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Rarely,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Occasionally,None,None,A Little,None,A Little,A Little,None
6,Occasionally,Often,Often,Often,Occasionally,Often,Rarely,Often,Often,Very Often,Occasionally,Rarely,Occasionally,Rarely,Rarely,Often,Often,Some,A Little,A Little,A Little,Some,Some,A Lot
7,Occasionally,Never,Rarely,Never,Never,Rarely,Never,Never,Never,Occasionally,Occasionally,Never,Never,Rarely,Never,Never,Rarely,None,None,A Little,None,None,A Little,None
8,Never,Rarely,Occasionally,Never,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
9,Rarely,Rarely,Never,Occasionally,Occasionally,Rarely,Rarely,Never,Occasionally,Rarely,Occasionally,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
10,Never,Never,Never,Never,Never,Never,Never,Never,Never,Often,Never,Occasionally,Never,Rarely,Rarely,Rarely,Never,None,None,None,None,None,None,None
11,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,None,None,None,None,None,None,None
12,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,None,None,None,None,None,None,None
13,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Never,Never,Never,Occasionally,Rarely,Occasionally,Never,Occasionally,Occasionally,Never,Never,A Little,Some,A Little,None,A Little,Some,A Little
14,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Often,Occasionally,Occasionally,Rarely,Some,Some,Some,A Little,Some,Some,Some
15,Rarely,Occasionally,Never,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Often,Often,Occasionally,Occasionally,Often,Rarely,Occasionally,Never,A Lot,A Lot,Some,A Lot,Some,Some,Some
16,Rarely,Occasionally,Never,Rarely,Often,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,None,A Little,A Little,A Little,A Little,A Little,None
17,Rarely,Rarely,Never,Occasionally,Never,Never,Never,Never,Rarely,Often,Rarely,Never,Rarely,Never,Rarely,Never,Never,None,None,None,None,A Little,A Little,None
18,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,A Little,None,None,None,A Little,A Little,None
19,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,None,None,None,None,None,None,None
20,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Never,Rarely,A Little,A Little,None,None,A Little,A Little,None
21,Never,Never,Never,Never,Occasionally,Occasionally,Never,Never,Never,Never,Never,Never,Never,Rarely,Occasionally,Never,Never,A Little,None,A Little,None,A Little,A Little,None
22,Occasionally,Rarely,Rarely,Rarely,Often,Rarely,Occasionally,Never,Often,Occasionally,Often,Never,Never,Rarely,Occasionally,Rarely,Never,A Little,None,A Little,None,A Little,A Little,A Little
23,Never,Never,Never,Rarely,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,None,None,None,None,A Little,A Little,None
24,Occasionally,Occasionally,Rarely,Rarely,Often,Occasionally,Occasionally,Rarely,Often,Occasionally,Often,Never,Rarely,Often,Very Often,Often,Never,Some,Some,Some,None,Some,A Lot,A Little
25,Occasionally,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
26,Never,Occasionally,Never,Rarely,Occasionally,Occasionally,Occasionally,Never,Never,Occasionally,Rarely,Rarely,Never,Occasionally,Occasionally,Occasionally,Never,None,None,None,None,None,None,None
27,Never,Never,Never,Rarely,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
28,Occasionally,Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Occasionally,Occasionally,Often,Often,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Some,Some,Some,A Little,Some,Some,A Little
29,Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
30,Never,Rarely,Rarely,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
31,Rarely,Very Often,Rarely,Often,Occasionally,Often,Often,Rarely,Often,Very Often,Very Often,Very Often,Rarely,Very Often,Occasionally,Rarely,Never,Some,Some,Some,A Little,Some,Some,A Little
32,Never,Never,Never,Rarely,Rarely,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,A Little,None
